# engine_labels.csv - engine function LABEL registry (attribution + names).
#
# Distinct from build/gen/symbol_names.csv (generated from src/ @address).
# This file is backlog-only; src/ wins and rows covered by src/ are removed.
# These are LABELS: real names + classes + prototypes attributed to v1.0.0.76
# engine functions from two sources. They graduate into symbol_names.csv + src/
# only through src/ @address annotations when actually byte-matched. Used to grow the partition + guide matching
# and applied into build/ghidra-named (the comprehension DB) for readable decomp.
#
# Sources:
#   tomalla     - refs/tomalla-gruntz manual annotations harvested for v1.0.1.77
#                 (build/tomalla-harvest/address_dict.csv), re-anchored to v0.76
#                 via the v0.76<->v0.77 patch offset map (build/patch-diff/,
#                 17 piecewise offset levels). 52 v1.01-CHANGED funcs are skipped.
#                 Real names + prototypes + owning class.
#   rtti-vptr   - ctor/dtor discovered by xref to ??_7<Class>@@6B@: a function
#                 storing the class vftable into [this+0] (MOV [reg],<vft>) is a
#                 ctor/dtor (docs/matching-patterns.md vtable-pointer store).
#                 Attributed to the most-derived class (last vptr store in a ctor).
#   rtti-vtable - dtor body reached via the vftable slot-0 vector-deleting-destructor
#                 thunk chain.
# (Class virtuals are already labeled Class::vfunc_N in build/ghidra-named by the
#  prior enrichment; not re-listed here.)
#
# Columns: rva,name,class,prototype,kind,source,confidence
#   rva=v0.76 .text RVA (hex, ImageBase 0x400000). kind=ctor|dtor|vfunc|method|free.
#   confidence: high=unique attribution; med=ICF-folded / multi-vftable function.
rva,name,class,prototype,kind,source,confidence
0x00bb60,CRandomAmbientSound::~CRandomAmbientSound,CRandomAmbientSound,CRandomAmbientSound::~CRandomAmbientSound(void),dtor,rtti-vptr,high
0x010b20,CSecretLevelTrigger::CSecretLevelTrigger_010b20,CSecretLevelTrigger,CSecretLevelTrigger::CSecretLevelTrigger(void),ctor,rtti-vptr,med
0x011160,CTileTrigger::CTileTrigger_011160,CTileTrigger,CTileTrigger::CTileTrigger(void),ctor,rtti-vptr,med
0x011ef0,CGruntHealthSprite::CGruntHealthSprite_011ef0,CGruntHealthSprite,CGruntHealthSprite::CGruntHealthSprite(void),ctor,rtti-vptr,med
0x0126e0,CProjectile::CProjectile_0126e0,CProjectile,CProjectile::CProjectile(void),ctor,rtti-vptr,med
0x013170,CPathHazard::CPathHazard_013170,CPathHazard,CPathHazard::CPathHazard(void),ctor,rtti-vptr,med
0x013470,CVoiceTrigger::CVoiceTrigger_013470,CVoiceTrigger,CVoiceTrigger::CVoiceTrigger(void),ctor,rtti-vptr,med
0x0138d0,CUserLogic::CUserLogic_0138d0,CUserLogic,CUserLogic::CUserLogic(void),ctor,rtti-vptr,med
0x013940,CMovingLogic::CMovingLogic,CMovingLogic,CMovingLogic::CMovingLogic(void),ctor,rtti-vptr,med
0x014b30,CBattlezDlg::CBattlezDlg,CBattlezDlg,CBattlezDlg::CBattlezDlg(void),ctor,rtti-vptr,high
0x017930,CBattlezDlgColors::CBattlezDlgColors,CBattlezDlgColors,CBattlezDlgColors::CBattlezDlgColors(void),ctor,rtti-vptr,high
0x018030,CBattlezDlgCustom::CBattlezDlgCustom,CBattlezDlgCustom,CBattlezDlgCustom::CBattlezDlgCustom(void),ctor,rtti-vptr,high
0x01f9b0,StartUpPrompt,,bool StartUpPrompt(HWND hParentWindow),free,tomalla,high
0x01fd50,Utils::WinAPI::IsGruntzCDInAnyDrive,Utils::WinAPI,bool Utils::WinAPI::IsGruntzCDInAnyDrive(),method,tomalla,high
0x01fd70,,,,import-caller,"import:OpenFile",low
0x01ffe0,Utils::WinAPI::GetGruntzDriveLetter,Utils::WinAPI,char Utils::WinAPI::GetGruntzDriveLetter(),method,tomalla,high
0x0234a0,CCheckpointDlg::CCheckpointDlg,CCheckpointDlg,CCheckpointDlg::CCheckpointDlg(void),ctor,rtti-vptr,high
0x024220,CGruntzSingleCommand::CGruntzSingleCommand,CGruntzSingleCommand,CGruntzSingleCommand::CGruntzSingleCommand(void),ctor,rtti-vptr,high
0x0242f0,CGruntzCommand::CGruntzCommand_0242f0,CGruntzCommand,CGruntzCommand::CGruntzCommand(void),ctor,rtti-vptr,high
0x024330,CGruntzCommand::~CGruntzCommand,CGruntzCommand,CGruntzCommand::~CGruntzCommand(void),dtor,rtti-vtable,high
0x024360,CGruntzMultiCommand::CGruntzMultiCommand,CGruntzMultiCommand,CGruntzMultiCommand::CGruntzMultiCommand(void),ctor,rtti-vptr,high
0x024430,CGruntzCommand::CGruntzCommand_024430,CGruntzCommand,CGruntzCommand::CGruntzCommand(void),ctor,rtti-vptr,high
0x024dc0,UnknownClassArrays::UnknownClassArrays,UnknownClassArrays,UnknownClassArrays::UnknownClassArrays(),ctor,tomalla,high
0x024f80,UnknownClassArrays::~UnknownClassArrays,UnknownClassArrays,UnknownClassArrays::~UnknownClassArrays(),dtor,tomalla,high
0x025ca0,UnknownClassArrays::FreeArrays,UnknownClassArrays,void UnknownClassArrays::FreeArrays(),method,tomalla,high
0x03a340,CCursorSnapSprite::CCursorSnapSprite,CCursorSnapSprite,CCursorSnapSprite::CCursorSnapSprite(void),ctor,rtti-vptr,med
0x03df30,CGruntStartingPoint::CGruntStartingPoint,CGruntStartingPoint,CGruntStartingPoint::CGruntStartingPoint(void),ctor,rtti-vptr,med
0x03e520,CGruntCreationPoint::CGruntCreationPoint,CGruntCreationPoint,CGruntCreationPoint::CGruntCreationPoint(void),ctor,rtti-vptr,med
0x03ecf0,CExitTrigger::CExitTrigger,CExitTrigger,CExitTrigger::CExitTrigger(void),ctor,rtti-vptr,med
0x03fc70,CWormhole::CWormhole,CWormhole,CWormhole::CWormhole(void),ctor,rtti-vptr,med
0x040490,CGruntPuddle::CGruntPuddle,CGruntPuddle,CGruntPuddle::CGruntPuddle(void),ctor,rtti-vptr,med
0x041020,CTeleporter::CTeleporter,CTeleporter,CTeleporter::CTeleporter(void),ctor,rtti-vptr,med
0x041e90,CSecretTeleporterTrigger::CSecretTeleporterTrigger,CSecretTeleporterTrigger,CSecretTeleporterTrigger::CSecretTeleporterTrigger(void),ctor,rtti-vptr,med
0x0424b0,CSecretLevelTrigger::CSecretLevelTrigger_0424b0,CSecretLevelTrigger,CSecretLevelTrigger::CSecretLevelTrigger(void),ctor,rtti-vptr,med
0x042d40,CWarlord::CWarlord,CWarlord,CWarlord::CWarlord(void),ctor,rtti-vptr,med
0x045d30,CFortressFlag::CFortressFlag,CFortressFlag,CFortressFlag::CFortressFlag(void),ctor,rtti-vptr,med
0x046ad0,CParticlez::CParticlez,CParticlez,CParticlez::CParticlez(void),ctor,rtti-vptr,med
0x0470e0,CExplosion::CExplosion,CExplosion,CExplosion::CExplosion(void),ctor,rtti-vptr,med
0x047a10,CGrunt::CGrunt,CGrunt,CGrunt::CGrunt(void),ctor,rtti-vptr,med
0x058cd0,CUserLogic::CUserLogic_058cd0,CUserLogic,CUserLogic::CUserLogic(void),ctor,rtti-vptr,med
0x07e3e0,CGruntSelectedSprite::CGruntSelectedSprite,CGruntSelectedSprite,CGruntSelectedSprite::CGruntSelectedSprite(void),ctor,rtti-vptr,med
0x07eb00,CGruntHealthSprite::CGruntHealthSprite_07eb00,CGruntHealthSprite,CGruntHealthSprite::CGruntHealthSprite(void),ctor,rtti-vptr,med
0x07f350,CGruntToySprite::CGruntToySprite,CGruntToySprite,CGruntToySprite::CGruntToySprite(void),ctor,rtti-vptr,med
0x07fae0,CGruntStaminaSprite::CGruntStaminaSprite,CGruntStaminaSprite,CGruntStaminaSprite::CGruntStaminaSprite(void),ctor,rtti-vptr,high
0x07fbd0,CGruntToyTimeSprite::CGruntToyTimeSprite,CGruntToyTimeSprite,CGruntToyTimeSprite::CGruntToyTimeSprite(void),ctor,rtti-vptr,high
0x07fcc0,CGruntWingzTimeSprite::CGruntWingzTimeSprite,CGruntWingzTimeSprite,CGruntWingzTimeSprite::CGruntWingzTimeSprite(void),ctor,rtti-vptr,high
0x07fdb0,CGruntPowerupSprite::CGruntPowerupSprite,CGruntPowerupSprite,CGruntPowerupSprite::CGruntPowerupSprite(void),ctor,rtti-vptr,med
0x080850,CGruntzApp::CGruntzApp,CGruntzApp,CGruntzApp::CGruntzApp(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x0808b0,CGruntzApp::~CGruntzApp,CGruntzApp,CGruntzApp::~CGruntzApp(),dtor,tomalla,high
0x080930,CGruntzApp::VirtualUnknownMethod03,CGruntzApp,"bool CGruntzApp::VirtualUnknownMethod03(HINSTANCE hInstance, char* szWindowName, char* szGameIdentifier, char* szCmdLine, char windowClassFlags, int windowWidth, int windowHeight)",method,tomalla,high
0x080a20,CGruntzApp::InitializeGameManager,CGruntzApp,WAP32::CGameMgr* CGruntzApp::InitializeGameManager(),method,tomalla,high
0x080ac0,CGruntzApp::ShowError,CGruntzApp,void CGruntzApp::ShowError(),method,tomalla,high
0x080c70,CGruntzApp::ErrorDialogProc,CGruntzApp,"INT_PTR CALLBACK CGruntzApp::ErrorDialogProc(HWND hWnd, UINT message, WPARAM wParam, LPARAM lParam)",method,tomalla,high
0x080cf0,CGameApp::CGameApp,CGameApp,CGameApp::CGameApp(void),ctor,rtti-vptr,high
0x080db0,WAP32::CGameApp::ShowError,WAP32::CGameApp,void WAP32::CGameApp::ShowError(),method,tomalla,high
0x080dd0,CGameApp::vector_deleting_destructor,CGameApp,vftable slot 0 (vector deleting destructor),dtor,tomalla,high
0x083030,CGruntzMgr::CGruntzMgr,CGruntzMgr,CGruntzMgr::CGruntzMgr(),ctor,tomalla,high
0x083260,UnknownClassInCGruntzMgr::~UnknownClassInCGruntzMgr,UnknownClassInCGruntzMgr,UnknownClassInCGruntzMgr::~UnknownClassInCGruntzMgr(),dtor,tomalla,high
0x083330,CGruntzMgr::vector_deleting_destructor,CGruntzMgr,vftable slot 0 (vector deleting destructor),dtor,tomalla,high
0x083360,CGruntzMgr::~CGruntzMgr,CGruntzMgr,CGruntzMgr::~CGruntzMgr(),dtor,tomalla,high
0x083450,RezSync::Init,RezSync,"bool RezSync::Init()  [mounts GRUNTZ.VRZ/ZZZ/XXX via CRezDir::OpenSub @0x53b0c0, constructs RezSync @0x57d8f0; xrefs 'GRUNTZ.VRZ'@0x60fcb8 'RezSync'@0x60fc70. CORRECTS prior rtti-vptr label CGruntzMapMgr::CGruntzMapMgr (misattribution: this has SEH + 0x428 frame + archive-open logic, not a ctor). CAVEAT: one of the 52 v1.01-CHANGED funcs; tomalla annotation is v0.77 - reverse from v0.76 before matching.]",method,rez-trace,high
0x0855e0,CGruntzMgr::UnknownClose,CGruntzMgr,void CGruntzMgr::UnknownClose(),method,tomalla,high
0x085d10,CGruntzMapMgr::~CGruntzMapMgr,CGruntzMapMgr,CGruntzMapMgr::~CGruntzMapMgr(void),dtor,rtti-vptr,high
0x08c9d0,CPlay::CPlay,CPlay,CPlay::CPlay(void),ctor,rtti-vptr,med
0x08d5e0,CCreditsState::~CCreditsState,CCreditsState,CCreditsState::~CCreditsState(void),dtor,rtti-vptr,med
0x08dc60,CGruntzMgr::ReportError,CGruntzMgr,"void CGruntzMgr::ReportError(int errorMessageId, int errorCode)",method,tomalla,high
0x08eca0,CGruntzMgr::InitializeLobbyConnectionSettings,CGruntzMgr,bool CGruntzMgr::InitializeLobbyConnectionSettings(),method,tomalla,high
0x08fa70,CGruntzMgr::GetGruntzDriveLetter,CGruntzMgr,char CGruntzMgr::GetGruntzDriveLetter(),method,tomalla,high
0x094640,CGruntzWnd::CGruntzWnd,CGruntzWnd,CGruntzWnd::CGruntzWnd(),ctor,tomalla,high
0x094670,CGruntzWnd::vector_deleting_destructor,CGruntzWnd,vftable slot 0 (vector deleting destructor),dtor,tomalla,high
0x0946a0,CGruntzWnd::~CGruntzWnd,CGruntzWnd,CGruntzWnd::~CGruntzWnd(),dtor,tomalla,high
0x094c10,CGameWnd::CGameWnd,CGameWnd,CGameWnd::CGameWnd(void),ctor,rtti-vptr,high
0x094d80,CGameWnd::~CGameWnd,CGameWnd,CGameWnd::~CGameWnd(void),dtor,rtti-vtable,high
0x095b10,CInGameIcon::CInGameIcon,CInGameIcon,CInGameIcon::CInGameIcon(void),ctor,rtti-vptr,med
0x098140,CToyPeek::CToyPeek,CToyPeek,CToyPeek::CToyPeek(void),ctor,rtti-vptr,med
0x099110,CInGameText::CInGameText,CInGameText,CInGameText::CInGameText(void),ctor,rtti-vptr,med
0x09b8b0,CLevelTime::CLevelTime,CLevelTime,CLevelTime::CLevelTime(void),ctor,rtti-vptr,med
0x09cf00,CLightFx::CLightFx,CLightFx,CLightFx::CLightFx(void),ctor,rtti-vptr,med
0x0a9e00,CDoNothingNormal::CDoNothingNormal,CDoNothingNormal,CDoNothingNormal::CDoNothingNormal(void),ctor,rtti-vptr,high
0x0aad20,CAniCycle::CAniCycle,CAniCycle,CAniCycle::CAniCycle(void),ctor,rtti-vptr,med
0x0ab310,CSingleFrameMessage::CSingleFrameMessage,CSingleFrameMessage,CSingleFrameMessage::CSingleFrameMessage(void),ctor,rtti-vptr,med
0x0ab940,CSimpleAnimation::CSimpleAnimation,CSimpleAnimation,CSimpleAnimation::CSimpleAnimation(void),ctor,rtti-vptr,med
0x0abfa0,CFrontCandy::CFrontCandy,CFrontCandy,CFrontCandy::CFrontCandy(void),ctor,rtti-vptr,med
0x0ac1d0,CDoNothing::CDoNothing,CDoNothing,CDoNothing::CDoNothing(void),ctor,rtti-vptr,med
0x0ac3f0,CBehindCandy::CBehindCandy,CBehindCandy,CBehindCandy::CBehindCandy(void),ctor,rtti-vptr,med
0x0ac620,CEyeCandy::CEyeCandy,CEyeCandy,CEyeCandy::CEyeCandy(void),ctor,rtti-vptr,med
0x0ac870,CEyeCandyAni::CEyeCandyAni,CEyeCandyAni,CEyeCandyAni::CEyeCandyAni(void),ctor,rtti-vptr,med
0x0acf40,CFrontCandyAni::CFrontCandyAni,CFrontCandyAni,CFrontCandyAni::CFrontCandyAni(void),ctor,rtti-vptr,med
0x0ad540,CBehindCandyAni::CBehindCandyAni,CBehindCandyAni,CBehindCandyAni::CBehindCandyAni(void),ctor,rtti-vptr,med
0x0adbe0,CMenuSparkle::CMenuSparkle,CMenuSparkle,CMenuSparkle::CMenuSparkle(void),ctor,rtti-vptr,med
0x0ae3f0,CWayPoint::CWayPoint,CWayPoint,CWayPoint::CWayPoint(void),ctor,rtti-vptr,med
0x0ae5f0,CGuardPoint::CGuardPoint,CGuardPoint,CGuardPoint::CGuardPoint(void),ctor,rtti-vptr,med
0x0ae7f0,CSingleAnimation::CSingleAnimation,CSingleAnimation,CSingleAnimation::CSingleAnimation(void),ctor,rtti-vptr,med
0x0af820,CRollingBall::CRollingBall,CRollingBall,CRollingBall::CRollingBall(void),ctor,rtti-vptr,med
0x0b1200,CSpotLight::CSpotLight,CSpotLight,CSpotLight::CSpotLight(void),ctor,rtti-vptr,med
0x0b23a0,CKitchenSlime::CKitchenSlime,CKitchenSlime,CKitchenSlime::CKitchenSlime(void),ctor,rtti-vptr,med
0x0b35a0,CPathHazard::CPathHazard_0b35a0,CPathHazard,CPathHazard::CPathHazard(void),ctor,rtti-vptr,med
0x0b49b0,CRainCloud::CRainCloud,CRainCloud,CRainCloud::CRainCloud(void),ctor,rtti-vptr,high
0x0b4a90,CUFO::CUFO,CUFO,CUFO::CUFO(void),ctor,rtti-vptr,high
0x0b5460,CNetMgr::CNetMgr_0b5460,CNetMgr,CNetMgr::CNetMgr(void),ctor,rtti-vptr,high
0x0b6000,CNetMgr::CNetMgr_0b6000,CNetMgr,CNetMgr::CNetMgr(void),ctor,rtti-vptr,high
0x0c1750,CMultiStartDlg::CMultiStartDlg,CMultiStartDlg,CMultiStartDlg::CMultiStartDlg(void),ctor,rtti-vptr,high
0x0c59f0,CObjectDropper::CObjectDropper,CObjectDropper,CObjectDropper::CObjectDropper(void),ctor,rtti-vptr,med
0x0c68b0,CDroppedObject::CDroppedObject,CDroppedObject,CDroppedObject::CDroppedObject(void),ctor,rtti-vptr,med
0x0c7490,CDroppedObjectShadow::CDroppedObjectShadow,CDroppedObjectShadow,CDroppedObjectShadow::CDroppedObjectShadow(void),ctor,rtti-vptr,med
0x0da790,UnknownClassInCGruntzMgr::UnknownClassInCGruntzMgr,UnknownClassInCGruntzMgr,UnknownClassInCGruntzMgr::UnknownClassInCGruntzMgr(),ctor,tomalla,high
0x0dec60,CProjectile::CProjectile_0dec60,CProjectile,CProjectile::CProjectile(void),ctor,rtti-vptr,med
0x0e0650,CBoomerang::CBoomerang,CBoomerang,CBoomerang::CBoomerang(void),ctor,rtti-vptr,high
0x0e1b90,CTimeBomb::CTimeBomb,CTimeBomb,CTimeBomb::CTimeBomb(void),ctor,rtti-vptr,med
0x0f90f0,,,,import-caller,"import:OpenFile",low
0x0fb7a0,CStaticHazard::CStaticHazard,CStaticHazard,CStaticHazard::CStaticHazard(void),ctor,rtti-vptr,med
0x0ffde0,CSBI_RectOnly::~CSBI_RectOnly,CSBI_RectOnly,CSBI_RectOnly::~CSBI_RectOnly(void),dtor,rtti-vptr,med
0x101580,CSBI_ImageSet::CSBI_ImageSet,CSBI_ImageSet,CSBI_ImageSet::CSBI_ImageSet(void),ctor,rtti-vptr,med
0x105070,CSBI_SideTab::~CSBI_SideTab,CSBI_SideTab,CSBI_SideTab::~CSBI_SideTab(void),dtor,rtti-vptr,high
0x10a340,CSBI_Image::~CSBI_Image,CSBI_Image,CSBI_Image::~CSBI_Image(void),dtor,rtti-vptr,med
0x10c230,CStatusBarSprite::CStatusBarSprite,CStatusBarSprite,CStatusBarSprite::CStatusBarSprite(void),ctor,rtti-vptr,med
0x10d650,CWarpStonePad::CWarpStonePad,CWarpStonePad,CWarpStonePad::CWarpStonePad(void),ctor,rtti-vptr,med
0x10dc40,CTileTriggerSwitch::CTileTriggerSwitch,CTileTriggerSwitch,CTileTriggerSwitch::CTileTriggerSwitch(void),ctor,rtti-vptr,med
0x10e220,CTileTrigger::CTileTrigger_10e220,CTileTrigger,CTileTrigger::CTileTrigger(void),ctor,rtti-vptr,med
0x10e800,CBrickz::CBrickz,CBrickz,CBrickz::CBrickz(void),ctor,rtti-vptr,med
0x10ee20,CCheckpointTrigger::CCheckpointTrigger,CCheckpointTrigger,CCheckpointTrigger::CCheckpointTrigger(void),ctor,rtti-vptr,med
0x10fa60,CTileSecretTrigger::CTileSecretTrigger,CTileSecretTrigger,CTileSecretTrigger::CTileSecretTrigger(void)  [ghidra-existing-name: ??0__non_rtti_object@@QAE@ABV0@@Z],ctor,rtti-vptr,high
0x10fa90,CGiantRock::CGiantRock,CGiantRock,CGiantRock::CGiantRock(void)  [ghidra-existing-name: ??0__non_rtti_object@@QAE@ABV0@@Z],ctor,rtti-vptr,high
0x10fac0,CCoveredPowerup::CCoveredPowerup,CCoveredPowerup,CCoveredPowerup::CCoveredPowerup(void)  [ghidra-existing-name: ??0__non_rtti_object@@QAE@ABV0@@Z],ctor,rtti-vptr,high
0x10faf0,CTileTriggerTransition::CTileTriggerTransition,CTileTriggerTransition,CTileTriggerTransition::CTileTriggerTransition(void),ctor,rtti-vptr,med
0x110430,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic_110430,CTileTriggerSwitchLogic,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic(void),ctor,rtti-vptr,high
0x111f10,CTileMultiTriggerSwitchLogic::CTileMultiTriggerSwitchLogic,CTileMultiTriggerSwitchLogic,CTileMultiTriggerSwitchLogic::CTileMultiTriggerSwitchLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112050,CTileExclusiveTriggerSwitchLogic::CTileExclusiveTriggerSwitchLogic,CTileExclusiveTriggerSwitchLogic,CTileExclusiveTriggerSwitchLogic::CTileExclusiveTriggerSwitchLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112210,CGiantRockLogic::CGiantRockLogic,CGiantRockLogic,CGiantRockLogic::CGiantRockLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112240,CCoveredPowerupLogic::CCoveredPowerupLogic,CCoveredPowerupLogic,CCoveredPowerupLogic::CCoveredPowerupLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112270,CTileTimeTriggerLogic::CTileTimeTriggerLogic,CTileTimeTriggerLogic,CTileTimeTriggerLogic::CTileTimeTriggerLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112760,CTileSecretTriggerLogic::CTileSecretTriggerLogic,CTileSecretTriggerLogic,CTileSecretTriggerLogic::CTileSecretTriggerLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112790,CTileSecretTriggerSwitchLogic::CTileSecretTriggerSwitchLogic,CTileSecretTriggerSwitchLogic,CTileSecretTriggerSwitchLogic::CTileSecretTriggerSwitchLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x1127c0,CTileTimeTriggerSwitchLogic::CTileTimeTriggerSwitchLogic,CTileTimeTriggerSwitchLogic,CTileTimeTriggerSwitchLogic::CTileTimeTriggerSwitchLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x1127f0,CCheckpointTriggerSwitchLogic::CCheckpointTriggerSwitchLogic,CCheckpointTriggerSwitchLogic,CCheckpointTriggerSwitchLogic::CCheckpointTriggerSwitchLogic(void)  [ghidra-existing-name: ??0CMetaFileDC@@QAE@XZ],ctor,rtti-vptr,high
0x112820,CGruntzApp::vector_deleting_destructor,CGruntzApp,vftable slot 0 (vector deleting destructor),dtor,tomalla,high
0x1145c0,CToobSpikez::CToobSpikez,CToobSpikez,CToobSpikez::CToobSpikez(void),ctor,rtti-vptr,med
0x115f60,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic_115f60,CTileTriggerSwitchLogic,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic(void),ctor,rtti-vptr,high
0x116320,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic_116320,CTileTriggerSwitchLogic,CTileTriggerSwitchLogic::CTileTriggerSwitchLogic(void),ctor,rtti-vptr,high
0x118ce0,Utils::WinAPI::LegacyAreProcessesRunning,Utils::WinAPI,"bool Utils::WinAPI::LegacyAreProcessesRunning(char* szDescriptor, int minCount, HANDLE* pOutProcessHandle)",method,tomalla,high
0x118f60,LegacyFindModule,,"bool LegacyFindModule(DWORD processId, DWORD moduleId, PMODULEENTRY32 pOutFoundModuleEntry, DWORD moduleEntrySize)",free,tomalla,high
0x1198a0,CGruntVoice::CGruntVoice,CGruntVoice,CGruntVoice::CGruntVoice(void),ctor,rtti-vptr,med
0x119b50,CVoiceTrigger::CVoiceTrigger_119b50,CVoiceTrigger,CVoiceTrigger::CVoiceTrigger(void),ctor,rtti-vptr,med
0x11f900,,,,import-caller,"import:FindFirstFileA",low
0x12abf0,,,,import-caller,"import:WriteFile",low
0x12d230,,,,import-caller,"import:WriteFile",low
0x12d460,,,,import-caller,"import:CreateFileA",low
0x12d880,,,,import-caller,"import:SetFilePointer",low
0x1315d0,,,,import-caller,"import:ReadFile",low
0x132ce0,,DirectInputMgr2,,import-caller,"import:DirectInputCreateA",high
0x133380,CGameMgr::vector_deleting_destructor,CGameMgr,vftable slot 0 (vector deleting destructor),dtor,tomalla,high
0x1350b0,UnknownSalazar::getLookupTableValue,UnknownSalazar,int UnknownSalazar::getLookupTableValue(int index),method,tomalla,high
0x1351a0,UnknownSalazar::initializeUnknownLookupTable,UnknownSalazar,void UnknownSalazar::initializeUnknownLookupTable(),method,tomalla,high
0x136440,UnknownSalazar::UnknownSalazar,UnknownSalazar,UnknownSalazar::UnknownSalazar(),ctor,tomalla,high
0x1364c0,UnknownSalazar::~UnknownSalazar,UnknownSalazar,UnknownSalazar::~UnknownSalazar(),dtor,tomalla,high
0x136550,,DirectSoundMgr,,import-caller,"import:DSOUND.dll!#1",high
0x1376d0,UnknownVoldemort::UnknownVoldemort,UnknownVoldemort,UnknownVoldemort::UnknownVoldemort(),ctor,tomalla,high
0x1376f0,UnknownVoldemort::~UnknownVoldemort,UnknownVoldemort,UnknownVoldemort::~UnknownVoldemort(),dtor,tomalla,high
0x13cff0,WAP32::CGameApp::GameWindowProc,WAP32::CGameApp,"LRESULT CALLBACK WAP32::CGameApp::GameWindowProc(HWND hWnd, UINT uMsg, WPARAM wParam, LPARAM lParam)",method,tomalla,high
0x13dbc0,WAP32::CGameApp::InitializeGameManager,WAP32::CGameApp,WAP32::CGameMgr* WAP32::CGameApp::InitializeGameManager(),method,tomalla,high
0x13dd10,WAP32::CGameMgr::CGameMgr,WAP32::CGameMgr,WAP32::CGameMgr::CGameMgr(),ctor,tomalla,high
