source_enum	members	decision	current_enums	member_reuse	reason
include/DDrawMgr/ColorDepth.h:ColorDepth	BPP_UNSET=0;BPP_MONO_1=1;BPP_PALETTED_2=2;BPP_PALETTED_4=4;BPP_PALETTED_8=8;BPP_RGB_16=16;BPP_RGB_24=24;BPP_RGB_32=32	retain	include/DDrawMgr/ColorDepth.h:ColorDepth		All evaluated equal-value and overlapping-domain rows were reviewed; ColorDepth has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDSurface.h:PidFlags	PID_TRANSPARENCY=1;PID_VIDEO_MEMORY=2;PID_SYSTEM_MEMORY=4;PID_GRAMMAR_SKIPRUN=32;PID_SRC_8BPP_SHADE=64;PID_EMBEDDED_PALETTE=128;PID_FILL_IS_WORD=256;PID_SRC_8BPP=512	retain	include/DDrawMgr/DDSurface.h:PidFlags		All evaluated equal-value and overlapping-domain rows were reviewed; PidFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDSurface.h:FileImageFormat	FMT_BMP=1;FMT_PCX=2;FMT_RID=3;FMT_PID=4	retain	include/DDrawMgr/DDSurface.h:FileImageFormat		All evaluated equal-value and overlapping-domain rows were reviewed; FileImageFormat has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDSurface.h:DDSurfacePoolKind	POOLKIND_PLAIN=0;POOLKIND_MODE=1;POOLKIND_FILEIMAGE=2;POOLKIND_OVERLAY=3;POOLKIND_ZBUFFER=4	retain	include/DDrawMgr/DDSurface.h:DDSurfacePoolKind		All evaluated equal-value and overlapping-domain rows were reviewed; DDSurfacePoolKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawChildGroupFlags.h:DDrawChildGroupFlags	DDRAW_CHILD_GROUP_FLAG_DEBUG_HIT_RECT=65536;DDRAW_CHILD_GROUP_FLAG_DEBUG_ATTACK_RECT=131072;DDRAW_CHILD_GROUP_FLAG_DEBUG_MOVE_RECT=262144;DDRAW_CHILD_GROUP_FLAG_DEBUG_ORIGIN=1048576;DDRAW_CHILD_GROUP_FLAG_DEBUG_SORT_KEY=2097152;DDRAW_CHILD_GROUP_FLAG_DEBUG_SURFACE_MEMORY=16777216	retain	include/DDrawMgr/DDrawChildGroupFlags.h:DDrawChildGroupFlags		All evaluated equal-value and overlapping-domain rows were reviewed; DDrawChildGroupFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawShadeBlit.h:ShadeRleLayout	SHADE_RLE_MAX_RUN=126;SHADE_RLE_TRANSPARENT_FLAG=128	retain	include/DDrawMgr/DDrawShadeBlit.h:ShadeRleLayout		All evaluated equal-value and overlapping-domain rows were reviewed; ShadeRleLayout has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawShadeBlit.h:ShadeLightLevel	SHADE_LIGHT_MIDPOINT=128	retain	include/DDrawMgr/DDrawShadeBlit.h:ShadeLightLevel		All evaluated equal-value and overlapping-domain rows were reviewed; ShadeLightLevel has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawSubMgrPages.h:DDrawPageKind	DDRAW_PAGE_BACK=1;DDRAW_PAGE_OVERLAY=2	retain	include/DDrawMgr/DDrawSubMgrPages.h:DDrawPageKind		All evaluated equal-value and overlapping-domain rows were reviewed; DDrawPageKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawSubMgrPages.h:InlineCtorTag	INLINE_CTOR=0	retain	include/DDrawMgr/DDrawSubMgrPages.h:InlineCtorTag		All evaluated equal-value and overlapping-domain rows were reviewed; InlineCtorTag has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawSurfaceMgr.h:DDrawSurfaceMgrFlags	SURFACEMGR_SKIP_OVERLAY=1;SURFACEMGR_TRIPLE_BUFFER=2;SURFACEMGR_DISABLE_SOUND=4;SURFACEMGR_REQUIRE_SOUND=8;SURFACEMGR_EMULATION_ONLY=16;SURFACEMGR_DIRECT_OBJECT_MOVEMENT=32;SURFACEMGR_CONSUME_ANIMATION_DRAW_VALUES=64;SURFACEMGR_SOUND_PRIORITY=128;SURFACEMGR_SINGLE_FRAME_WORKERS=256	retain	include/DDrawMgr/DDrawSurfaceMgr.h:DDrawSurfaceMgrFlags		All evaluated equal-value and overlapping-domain rows were reviewed; DDrawSurfaceMgrFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/DDrawSurfacePair.h:DDrawSurfacePairFlags	SURFACEPAIR_SYSTEM_MEMORY=65536;SURFACEPAIR_SKIP_OVERLAY_WORKER_RENDER=131072	retain	include/DDrawMgr/DDrawSurfacePair.h:DDrawSurfacePairFlags		All evaluated equal-value and overlapping-domain rows were reviewed; DDrawSurfacePairFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/LogicRecordFlags.h:LogicRecordFlags	LOGIC_RECORD_FLAG_LARGE_ACTIVE_REGION=1;LOGIC_RECORD_FLAG_SMALL_ACTIVE_REGION=2;LOGIC_RECORD_FLAG_KEEP_ACTIVE=4	retain	include/DDrawMgr/LogicRecordFlags.h:LogicRecordFlags		All evaluated equal-value and overlapping-domain rows were reviewed; LogicRecordFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/PaletteSize.h:PaletteSize	PALETTE_ENTRY_COUNT=256;PALETTE_INDEX_BITS=8;PALETTE_RGB_BYTE_COUNT=768;LOGICAL_PALETTE_VERSION=768	retain	include/DDrawMgr/PaletteSize.h:PaletteSize		All evaluated equal-value and overlapping-domain rows were reviewed; PaletteSize has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/PixelShift.h:PixelFormat16Constants	PIXEL8_BYTES_PER_PIXEL=1;PIXEL16_BYTES_PER_PIXEL=2;PIXEL24_BYTES_PER_PIXEL=3;PIXEL32_BYTES_PER_PIXEL=4;PIXEL_BITS_PER_BYTE=8;PIXEL_BYTE_MASK=255;PIXEL_NIBBLE_BITS=4;PIXEL_NIBBLE_MASK=15;PIXEL_NIBBLE_VALUE_COUNT=16;PIXEL_NIBBLE_MIDPOINT=8;PIXEL16_VALUE_COUNT=65536;PIXEL16_VALUE_MASK=65535;PIXEL16_RED_DOWN=3;PIXEL16_BLUE_DOWN=3;PIXEL16_GREEN_UP=5;RGB555_GREEN_DOWN=3;RGB555_RED_UP=10;RGB555_CHANNEL_BITS=5;RGB555_CHANNEL_MASK=31;RGB555_RED_TO_4_SHIFT=11;RGB555_GREEN_TO_4_SHIFT=6;RGB565_GREEN_DOWN=2;RGB565_RED_UP=11;RGB565_GREEN_BITS=6;RGB565_GREEN_TO_5_SHIFT=6;RGB565_RED_TO_4_SHIFT=12;RGB565_GREEN_TO_4_SHIFT=7;RGB16_BLUE_TO_4_SHIFT=1	retain	include/DDrawMgr/PixelShift.h:PixelFormat16Constants		All evaluated equal-value and overlapping-domain rows were reviewed; PixelFormat16Constants has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/RasterRowOrder.h:RasterRowOrder	RASTER_ROWS_TOP_DOWN=1;RASTER_ROWS_BOTTOM_UP=2	retain	include/DDrawMgr/RasterRowOrder.h:RasterRowOrder		All evaluated equal-value and overlapping-domain rows were reviewed; RasterRowOrder has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/ShadeMode.h:ShadeMode	SHADE_COPY=1;SHADE_DST_BY_SRC=2;SHADE_DST_BY_LEVEL=3;SHADE_SRC_BY_LEVEL=4;SHADE_FILL_LEVEL=5;SHADE_LERP_LEVEL=6;SHADE_DST_BY_SRC_16=7;SHADE_ALPHA_16=8;SHADE_GREY_TABLE=9;SHADE_PAL_16=10;SHADE_PAL_ALPHA_16=11	retain	include/DDrawMgr/ShadeMode.h:ShadeMode		All evaluated equal-value and overlapping-domain rows were reviewed; ShadeMode has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/ShadeTableCache.h:FlashShadeRampDefaults	FLASH_SHADE_DARK_RAMP_STEPS=32;FLASH_SHADE_BRIGHT_RAMP_STEPS=32;FLASH_SHADE_START_PERCENT=50;FLASH_SHADE_END_PERCENT=200	retain	include/DDrawMgr/ShadeTableCache.h:FlashShadeRampDefaults		All evaluated equal-value and overlapping-domain rows were reviewed; FlashShadeRampDefaults has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/ShadeTableCache.h:FlashShadeChannelClamp	FLASH_SHADE_CHANNEL_BOOST=16;FLASH_SHADE_CHANNEL_MAX=255	retain	include/DDrawMgr/ShadeTableCache.h:FlashShadeChannelClamp		All evaluated equal-value and overlapping-domain rows were reviewed; FlashShadeChannelClamp has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/WorldInitError.h:WorldInitError	WORLDERR_NONE=0;WORLDERR_CHILD_GROUP=1001;WORLDERR_WORKER_LIST=1002;WORLDERR_IMAGE_REGISTRY=1003;WORLDERR_WORKER_CACHE=1004;WORLDERR_WORKER_MAP=1005;WORLDERR_ANIM_REGISTRY=1006;WORLDERR_LEVEL_EXTENTS=1007;WORLDERR_CREATE_PAGES=1008;WORLDERR_SOUND_OUTPUT=1009;WORLDERR_SOUND_REGISTRY=1010;WORLDERR_FRONT_SURFACE=2001;WORLDERR_BACK_SURFACE=2002;WORLDERR_OVERLAY_SURFACE=2003;WORLDERR_CREATE_DEVICE=3001;WORLDERR_CREATE_PALETTE_SURFACE=3002;WORLDERR_FRONT_DIMENSIONS=4001;WORLDERR_BACK_DIMENSIONS=4002;WORLDERR_FRONT_SURFACE_COPY=4003;WORLDERR_BACK_SURFACE_CREATE=4004;WORLDERR_DDRAW_CREATE=33001;WORLDERR_DDRAW_COOPERATIVE_LEVEL=33002;WORLDERR_DDRAW_CAPABILITIES=33003;WORLDERR_DDRAW_DISPLAY_MODE=33004;WORLDERR_DDRAW_COLOR_MASKS=33005	retain	include/DDrawMgr/WorldInitError.h:WorldInitError		All evaluated equal-value and overlapping-domain rows were reviewed; WorldInitError has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/WorldInitError.h:WorldInitReportTag	WORLD_REPORT_STARTUP_INIT=1031;WORLD_REPORT_COLOR_DEPTH_REINIT=1087	retain	include/DDrawMgr/WorldInitError.h:WorldInitReportTag		All evaluated equal-value and overlapping-domain rows were reviewed; WorldInitReportTag has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DDrawMgr/WorldInitError.h:DDrawDeviceError	DDRAWERR_NONE=0;DDRAWERR_CREATE=1001;DDRAWERR_COOPERATIVE_LEVEL=1002;DDRAWERR_CAPABILITIES=1003;DDRAWERR_DISPLAY_MODE=1004;DDRAWERR_COLOR_MASKS=1005;DDRAWERR_QUERY_INTERFACE=1007	retain	include/DDrawMgr/WorldInitError.h:DDrawDeviceError		All evaluated equal-value and overlapping-domain rows were reviewed; DDrawDeviceError has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DinMgr2/DirectInputMgr2.h:DirectInputCreateFlags	DIN_CREATE_ASYNC_KEYBOARD=1;DIN_CREATE_NO_MOUSE=2;DIN_CREATE_NO_KEYBOARD=4;DIN_CREATE_NO_JOYSTICKS=8	retain	include/DinMgr2/DirectInputMgr2.h:DirectInputCreateFlags		All evaluated equal-value and overlapping-domain rows were reviewed; DirectInputCreateFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DinMgr2/DirectInputMgr2.h:InputButtonFlags	INPUT_BUTTON0=1;INPUT_BUTTON1=2;INPUT_BUTTON2=4;INPUT_BUTTON3=8;INPUT_BUTTON4=16;INPUT_BUTTON5=32;INPUT_BUTTON6=64;INPUT_BUTTON7=128;INPUT_BUTTON8=256;INPUT_BUTTON9=512;INPUT_BUTTON_MASK=16777215;INPUT_LEFT=268435456;INPUT_RIGHT=536870912;INPUT_UP=1073741824;INPUT_DOWN=-2147483648	retain	include/DinMgr2/DirectInputMgr2.h:InputButtonFlags		All evaluated equal-value and overlapping-domain rows were reviewed; InputButtonFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DinMgr2/DirectInputMgr2.h:InputBindingSlot	INPUT_BINDING_BUTTON0=0;INPUT_BINDING_BUTTON1=1;INPUT_BINDING_BUTTON2=2;INPUT_BINDING_BUTTON3=3;INPUT_BINDING_BUTTON4=4;INPUT_BINDING_BUTTON5=5;INPUT_BINDING_BUTTON6=6;INPUT_BINDING_BUTTON7=7;INPUT_BINDING_BUTTON8=8;INPUT_BINDING_LEFT=28;INPUT_BINDING_RIGHT=29;INPUT_BINDING_UP=30;INPUT_BINDING_DOWN=31	retain	include/DinMgr2/DirectInputMgr2.h:InputBindingSlot		All evaluated equal-value and overlapping-domain rows were reviewed; InputBindingSlot has distinct producers, consumers, or encoding and does not transport another enum's values.
include/DinMgr2/DirectInputMgr2.h:InputBindingConstants	INPUT_BINDING_COUNT=32	retain	include/DinMgr2/DirectInputMgr2.h:InputBindingConstants		The binding-table extent counts keyboard and direction slots; equal value 32 in pixel, bit-array, and shade domains measures different storage.
include/Dsndmgr/SoundTask.h:SoundTaskTag	SOUND_TASK_TAG_VOLUME_RAMP=1;SOUND_TASK_TAG_ALL=65535	retain	include/Dsndmgr/SoundTask.h:SoundTaskTag		All evaluated equal-value and overlapping-domain rows were reviewed; SoundTaskTag has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Dsndmgr/VolumeScale.h:VolumeScale	VOLUME_PCT_MAX=100;MIDI_VOLUME_MAX=127	retain	include/Dsndmgr/VolumeScale.h:VolumeScale		All evaluated equal-value and overlapping-domain rows were reviewed; VolumeScale has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Dsndmgr/VolumeScale.h:DSoundFrequency	DSOUND_FREQUENCY_MIN=100;DSOUND_FREQUENCY_MAX=100000	retain	include/Dsndmgr/VolumeScale.h:DSoundFrequency		All evaluated equal-value and overlapping-domain rows were reviewed; DSoundFrequency has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Font/FontSel.h:FontSel	FONTSEL_TINY=100;FONTSEL_SMALL=110;FONTSEL_MEDIUM=120;FONTSEL_LARGE=130	retain	include/Font/FontSel.h:FontSel		All evaluated equal-value and overlapping-domain rows were reviewed; FontSel has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ActReg.h:ActIdRange	ACT_ID_FIRST=2000;ACT_ID_LAST=2010	retain	include/Gruntz/ActReg.h:ActIdRange		All evaluated equal-value and overlapping-domain rows were reviewed; ActIdRange has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ActionAreaOwner.h:ActionAreaOwner	ACTION_AREA_BLUE_OWNER=1;ACTION_AREA_RED_OWNER=2	retain	include/Gruntz/ActionAreaOwner.h:ActionAreaOwner		All evaluated equal-value and overlapping-domain rows were reviewed; ActionAreaOwner has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ActionOptionsMenuBar.h:ActionOptionButtonState	ACTIONOPTION_HIDDEN=0;ACTIONOPTION_NORMAL=1;ACTIONOPTION_SELECTED=2;ACTIONOPTION_DISABLED=3	retain	include/Gruntz/ActionOptionsMenuBar.h:ActionOptionButtonState		All evaluated equal-value and overlapping-domain rows were reviewed; ActionOptionButtonState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ActionOptionsMenuBar.h:ActionOptionHit	ACTIONOPTION_HIT_NONE=0;ACTIONOPTION_HIT_PRIMARY=2;ACTIONOPTION_HIT_SECONDARY=3	retain	include/Gruntz/ActionOptionsMenuBar.h:ActionOptionHit		All evaluated equal-value and overlapping-domain rows were reviewed; ActionOptionHit has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/AmbientSound.h:AmbientSoundActState	AMBIENT_SOUND_ACTIVE=30	retain	include/Gruntz/AmbientSound.h:AmbientSoundActState		All evaluated equal-value and overlapping-domain rows were reviewed; AmbientSoundActState has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/AniAdvanceCursor.h:AniAdvanceValue	ANI_SCALE_ONE_BITS=1065353216	retain	include/Gruntz/AniAdvanceCursor.h:AniAdvanceValue		All evaluated equal-value and overlapping-domain rows were reviewed; AniAdvanceValue has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/AniAdvanceCursor.h:EInlineCursor	INLINE_CURSOR=0	retain	include/Gruntz/AniAdvanceCursor.h:EInlineCursor		All evaluated equal-value and overlapping-domain rows were reviewed; EInlineCursor has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/AniRecordView.h:AniRecordFlags	ANI_RECORD_FLAG_FRAME_COUNT=1;ANI_RECORD_FLAG_HAS_CUES=2;ANI_RECORD_FLAG_POSITIONAL_CUE=4;ANI_RECORD_FLAG_CULL_CUE_WHEN_NOT_DRAWN=8	retain	include/Gruntz/AniRecordView.h:AniRecordFlags		All evaluated equal-value and overlapping-domain rows were reviewed; AniRecordFlags has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/AniRecordView.h:AniRecordTiming	ANI_FRAME_QUANTUM_MS=22	retain	include/Gruntz/AniRecordView.h:AniRecordTiming		All evaluated equal-value and overlapping-domain rows were reviewed; AniRecordTiming has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/ArrivalFlagsPreset.h:ArrivalFlagsPreset	ARRIVAL_FLAGS_PLAYER=67111169;ARRIVAL_FLAGS_PLAYER_SINGLE=67111185;ARRIVAL_FLAGS_BATTLEZ=67111299;ARRIVAL_FLAGS_ENEMY=469765507	retain	include/Gruntz/ArrivalFlagsPreset.h:ArrivalFlagsPreset		All evaluated equal-value and overlapping-domain rows were reviewed; ArrivalFlagsPreset has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattleStatRow.h:BattleStatRow	BATTLEROW_FORTZ=0;BATTLEROW_KILLZ=1;BATTLEROW_GRUNTZ=2;BATTLEROW_TOOLZ=3;BATTLEROW_TOYZ=4;BATTLEROW_POWERUPZ=5;BATTLEROW_CURSEZ=6;BATTLEROW_COUNT=7	retain	include/Gruntz/BattleStatRow.h:BattleStatRow		All evaluated equal-value and overlapping-domain rows were reviewed; BattleStatRow has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattlezDifficulty.h:BattlezDifficulty	BZDIFF_EASY=0;BZDIFF_NORMAL=1;BZDIFF_HARD=2	retain	include/Gruntz/BattlezDifficulty.h:BattlezDifficulty		All evaluated equal-value and overlapping-domain rows were reviewed; BattlezDifficulty has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattlezIntervalMs.h:BattlezIntervalMs	BLOCKED_VOICE_INTERVAL_MS=5000	retain	include/Gruntz/BattlezIntervalMs.h:BattlezIntervalMs		All evaluated equal-value and overlapping-domain rows were reviewed; BattlezIntervalMs has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattlezRouteMaskPreset.h:BattlezRouteMaskPreset	BATTLEZ_ROUTE_OTHER_TOOLS=32;BATTLEZ_ROUTE_WINGZ_SHOVEL=64;BATTLEZ_ROUTE_ALL_TOOLS=96;BATTLEZ_ROUTE_TOOB_TRAVERSAL=256;BATTLEZ_ROUTE_OTHER_TOOLS_EXPANDED=552;BATTLEZ_ROUTE_WINGZ_SHOVEL_EXPANDED=584;BATTLEZ_ROUTE_ALL_TOOLS_EXPANDED=616;BATTLEZ_ROUTE_WINGZ_TRAVERSAL=2370;BATTLEZ_ROUTE_ALL_TOOLS_WINGZ=2402;BATTLEZ_ROUTE_SPRING_TRAVERSAL=4096;BATTLEZ_ROUTE_OTHER_TOOLS_TRIGGER=16416;BATTLEZ_ROUTE_ALL_TOOLS_TRIGGER=17000;BATTLEZ_ROUTE_OTHER_TOOLS_TRIGGER_WINGZ=18786	retain	include/Gruntz/BattlezRouteMaskPreset.h:BattlezRouteMaskPreset		All evaluated equal-value and overlapping-domain rows were reviewed; BattlezRouteMaskPreset has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattlezTask.h:BattlezTask	BZTASK_UNASSIGNED=0;BZTASK_STEP=2;BZTASK_ASSIGNED_TARGET=3;BZTASK_ADVANCE=4;BZTASK_CARRY_GOOBER=6;BZTASK_CHECK_QUEUED_SPAWN=7;BZTASK_CARRY_SPY=9;BZTASK_CARRY_BRICK=10;BZTASK_SEEK_SWITCH=11	retain	include/Gruntz/BattlezTask.h:BattlezTask		All evaluated equal-value and overlapping-domain rows were reviewed; BattlezTask has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BattlezTask.h:BattlezRoster	BATTLEZ_TEAM_COUNT=4;BATTLEZ_UNIT_SLOT_COUNT=15;BATTLEZ_QUEUE_POSITION_UNSET=16	reuse	include/Gruntz/BattlezTask.h:BattlezRoster;include/Gruntz/PlayerSlot.h:PlayerSlotConstants;include/Gruntz/TriggerGridDimensions.h:TriggerGridDimensions	BATTLEZ_TEAM_COUNT=include/Gruntz/PlayerSlot.h:PlayerSlotConstants::PLAYER_SLOT_COUNT;BATTLEZ_UNIT_SLOT_COUNT=include/Gruntz/TriggerGridDimensions.h:TriggerGridDimensions::TM_UNITS_PER_PLAYER	The team and unit bounds index the shared player-slot and trigger-unit registries; only the queue-position sentinel remains Battlez-specific.
include/Gruntz/BattlezUnitKind.h:BattlezUnitKind	BZUNIT_BOMB=1;BZUNIT_GUNHAT=2;BZUNIT_GAUNTLETZ=3;BZUNIT_CLUB=4;BZUNIT_SHIELD=5;BZUNIT_GLOVEZ=6;BZUNIT_BRICK=7;BZUNIT_GRAVITYBOOTZ=8;BZUNIT_BOOMERANG=9;BZUNIT_SPY=10;BZUNIT_NERFGUN=11;BZUNIT_ROCK=12;BZUNIT_GOOBER=13;BZUNIT_SWORD=14;BZUNIT_SHOVEL=15;BZUNIT_SHOVEL_MOUNTED=16	retain	include/Gruntz/BattlezUnitKind.h:BattlezUnitKind		All evaluated equal-value and overlapping-domain rows were reviewed; BattlezUnitKind has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BootySeqPhase.h:BootySeqPhase	BOOTYSEQ_SECRET_PENDING=-2;BOOTYSEQ_WARP_CUE=100;BOOTYSEQ_GLITTER=101;BOOTYSEQ_LETTERS=102;BOOTYSEQ_WALK=103;BOOTYSEQ_PERFECT_BONUS=199;BOOTYSEQ_DONE=200	retain	include/Gruntz/BootySeqPhase.h:BootySeqPhase		All evaluated equal-value and overlapping-domain rows were reviewed; BootySeqPhase has distinct producers, consumers, or encoding and does not transport another enum's values.
include/Gruntz/BootyStatRow.h:BootyStatRow	BOOTYSTAT_TIME=0;BOOTYSTAT_GRUNTZ_EXITED=1;BOOTYSTAT_GRUNTZ_LOST=2;BOOTYSTAT_TOOLZ=3;BOOTYSTAT_TOYZ=4;BOOTYSTAT_POWERUPZ=5;BOOTYSTAT_COINZ=6;BOOTYSTAT_SECRETZ=7;BOOTYSTAT_COUNT=8	retain	include/Gruntz/BootyStatRow.h:BootyStatRow		All evaluated equal-value and overlapping-domain rows were reviewed; BootyStatRow has distinct producers, consumers, or encoding and does not transport another enum's values.
