# Manually maintained retail vtables emitted by reconstructed game/engine source.
# kind separates ordinary primary tables, multiple-inheritance secondary tables, and template specializations.
# unit is RETIRED here (2026-08-09): data_manifest.vtable_rows() enrolls every game
# vtable once per EMITTING base obj, template specializations included, so no row
# needs a hand-written owner. A stale one is now a build error (vtable_catalog.validate).
name,rva,size,kind,unit,note
??_7CGruntPuddle@@6B@,0x1e8124,0x40,primary,,
??_7CWormhole@@6B@,0x1e817c,0x40,primary,,
??_7CGruntCreationPoint@@6B@,0x1e81d4,0x40,primary,,
??_7CExitTrigger@@6B@,0x1e822c,0x40,primary,,
??_7CGruntStartingPoint@@6B@,0x1e8284,0x40,primary,,
??_7CMenuSparkle@@6B@,0x1e82dc,0x40,primary,,
??_7CEyeCandyAni@@6B@,0x1e8334,0x40,primary,,
??_7CBehindCandyAni@@6B@,0x1e838c,0x40,primary,,
??_7CFrontCandyAni@@6B@,0x1e83e4,0x40,primary,,
??_7CEyeCandy@@6B@,0x1e843c,0x40,primary,,
??_7CBehindCandy@@6B@,0x1e8494,0x40,primary,,
??_7CFrontCandy@@6B@,0x1e84ec,0x40,primary,,
??_7CSimpleAnimation@@6B@,0x1e8544,0x40,primary,,
??_7CDoNothingNormal@@6B@,0x1e859c,0x40,primary,,
??_7CDoNothing@@6B@,0x1e85f4,0x40,primary,,
??_7CSingleFrameMessage@@6B@,0x1e864c,0x40,primary,,
??_7CAniCycle@@6B@,0x1e86a4,0x40,primary,,
??_7CRollingBall@@6B@,0x1e86fc,0x40,primary,,
??_7CGrunt@@6B@,0x1e8754,0x44,primary,,
??_7CMovingLogic@@6B@,0x1e87ac,0x44,primary,,
??_7CSecretLevelTrigger@@6B@,0x1e8804,0x40,primary,,
??_7CVoiceTrigger@@6B@,0x1e885c,0x40,primary,,
??_7CBattlezDlg@@6B@,0x1e8bac,0xd8,primary,,
??_7CBattlezDlgColors@@6B@,0x1e8d94,0xd8,primary,,
??_7CBattlezDlgCustom@@6B@,0x1e8ee4,0xd8,primary,,
??_7zPTree@@6BzPtrColl@@@,0x1e949c,0x4,secondary,,
??_7zPTree@@6BzErrHandling@@@,0x1e94ac,0x4,secondary,,
??_7CCheckpointDlg@@6B@,0x1e9504,0xd8,primary,,
??_7CGruntzSingleCommand@@6B@,0x1e9634,0x2c,primary,,
??_7CGruntzCommand@@6B@,0x1e9674,0x2c,primary,,
??_7CGruntzMultiCommand@@6B@,0x1e96b4,0x2c,primary,,
??_7?$CArray@PAUPLAYLISTINFOSTRUCT@@PAU1@@@6B@,0x1e971c,0x14,template,,source-emitted MFC CArray specialization
??_7CGruntzApp@@6B@,0x1e9ab4,0x44,primary,,
??_7CGameApp@@6B@,0x1e9b0c,0x44,primary,,
??_7CGruntzMgr@@6B@,0x1e9b64,0x18,primary,,
??_7CGameMgr@@6B@,0x1e9b8c,0x18,primary,,
??_7CGruntzMapMgr@@6B@,0x1e9bb4,0x18,primary,,
??_7CMultiBootyState@@6B@,0x1e9bdc,0x68,primary,,
??_7CCreditsState@@6B@,0x1e9c64,0x68,primary,,
??_7CBootyState@@6B@,0x1e9cec,0x68,primary,,
??_7CSplashState@@6B@,0x1e9d74,0x68,primary,,
??_7CHelpState@@6B@,0x1e9dfc,0x68,primary,,
??_7CMenuState@@6B@,0x1e9e84,0x68,primary,,
??_7CDemo@@6B@,0x1e9f0c,0xac,primary,,
??_7CMulti@@6B@,0x1e9fe4,0xac,primary,,
??_7CPlay@@6B@,0x1ea0bc,0xac,primary,,
??_7CAttract@@6B@,0x1ea194,0x68,primary,,
??_7CState@@6B@,0x1ea21c,0x68,primary,,
??_7CGruntzWnd@@6B@,0x1ea2d4,0x58,primary,,
??_7CGameWnd@@6B@,0x1ea344,0x58,primary,,
??_7CMapMgr@@6B@,0x1ea3b4,0x18,primary,,
??_7CNetMgr@@6B@,0x1ea42c,0x14,primary,,
??_7CMultiHelpDlg@@6B@,0x1ea474,0xd8,primary,,
??_7CMultiStartDlg@@6B@,0x1ea8ec,0xd8,primary,,
??_7CImage@@6B@,0x1eaa2c,0x48,primary,,
??_7CSBI_MenuItem@@6B@,0x1eab4c,0x30,primary,,
??_7CSBI_RectOnly@@6B@,0x1eab8c,0x2c,primary,,
??_7CStatusBarItem@@6B@,0x1eabcc,0x2c,primary,,
??_7CSBI_Image@@6B@,0x1eac0c,0x30,primary,,
??_7CSBI_ImageSet@@6B@,0x1eac4c,0x34,primary,,
??_7CSBI_StatzTabArrow@@6B@,0x1eac94,0x3c,primary,,
??_7CSBI_StatzTabGruntBar@@6B@,0x1eace4,0x2c,primary,,
??_7CSBI_WarlordHead@@6B@,0x1ead24,0x34,primary,,
??_7CSBI_ImageSetAni@@6B@,0x1ead6c,0x3c,primary,,
??_7CSBI_GruntMachine@@6B@,0x1eadbc,0x2c,primary,,
??_7CSBI_WellGoo@@6B@,0x1eadfc,0x30,primary,,
??_7CSBI_SideTab@@6B@,0x1eae3c,0x2c,primary,,
??_7CTileTriggerSwitchLogic@@6B@,0x1eae8c,0x10,primary,,
??_7CTileTriggerLogic@@6B@,0x1eaea4,0x4,primary,,
??_7CTileMultiTriggerSwitchLogic@@6B@,0x1eaeb4,0x10,primary,,
??_7CTileExclusiveTriggerSwitchLogic@@6B@,0x1eaecc,0x10,primary,,
??_7CGiantRockLogic@@6B@,0x1eaee4,0x4,primary,,
??_7CCoveredPowerupLogic@@6B@,0x1eaef4,0x4,primary,,
??_7CTileTimeTriggerLogic@@6B@,0x1eaf04,0x4,primary,,
??_7CTileSecretTriggerLogic@@6B@,0x1eaf14,0x4,primary,,
??_7CTileSecretTriggerSwitchLogic@@6B@,0x1eaf24,0x10,primary,,
??_7CTileTimeTriggerSwitchLogic@@6B@,0x1eaf3c,0x10,primary,,
??_7CCheckpointTriggerSwitchLogic@@6B@,0x1eaf54,0x10,primary,,
??_7CGruntVoice@@6B@,0x1eaf6c,0x40,primary,,
??_7CInputDevice@@6B@,0x1ef628,0x18,primary,,
??_7CDeviceConfigB@@6B@,0x1ef640,0x18,primary,,
??_7CDeviceConfigC@@6B@,0x1ef658,0x18,primary,,
??_7CInputDevRoot@@6B@,0x1ef670,0x10,primary,,
??_7CInputDevBase@@6B@,0x1ef680,0x18,primary,,
??_7DirectSoundMgr@@6B@,0x1ef6b8,0x4,primary,,
??_7DSoundCloneInst@@6B@,0x1ef6bc,0x4,primary,,
??_7DSoundBaseSub@@6B@,0x1ef6c0,0x4,primary,,
??_7SoundDevice@@6B@,0x1ef6c4,0x4,primary,,
??_7PureSoundElem@@6B@,0x1ef6c8,0x8,primary,,
??_7DSoundVoice@@6B@,0x1ef6d0,0x8,primary,,
??_7StreamVoice@@6B@,0x1ef6d8,0x4,primary,,
??_7StreamVoiceFeeder@@6B@,0x1ef6e0,0xc,primary,,
??_7SoundStream@@6B@,0x1ef6ec,0x4,primary,,
??_7StreamFeeder@@6B@,0x1ef6f0,0xc,primary,,
??_7CGruntzSoundInnerZ@@6B@,0x1ef700,0x40,primary,,
??_7CParseSlotHashNode@@6B@,0x1ef740,0x4,primary,,
??_7CSymRecNode@@6B@,0x1ef744,0x4,primary,,
??_7CSymTabNode@@6B@,0x1ef748,0x4,primary,,
??_7CSymParser@@6B@,0x1ef750,0xc,primary,,
??_7CParserObjList@@6B@,0x1ef75c,0x4,primary,,
??_7CObjListBase@@6B@,0x1ef760,0x4,primary,,
??_7CRezItmBase@@6B@,0x1ef768,0x20,primary,,
??_7CRezItm@@6B@,0x1ef788,0x20,primary,,
??_7CRezDir@@6B@,0x1ef7a8,0x20,primary,,
??_7CRezList@@6B@,0x1ef7c8,0x4,primary,,
??_7CRezFile@@6B@,0x1ef7d0,0x20,primary,,
??_7CDDSurface@@6B@,0x1ef7f0,0x24,primary,,
??_7CFileImageSurface@@6B@,0x1efa58,0x30,primary,,
??_7CPoolItemA88@@6B@,0x1efa88,0x2c,primary,,
??_7CPoolItemAB8@@6B@,0x1efab8,0x2c,primary,,
??_7CPoolItemAE8@@6B@,0x1efae8,0x28,primary,,
??_7CShadeTableArray@@6B@,0x1efb28,0x14,primary,,
??_7AnimWorkerObj@@6B@,0x1efb80,0x28,primary,,
??_7CAniElement@@6B@,0x1efba8,0x14,primary,,
??_7CResolveNode@@6B@,0x1efbc0,0x28,primary,,
??_7CDDrawWorker@@6B@,0x1efbe8,0x44,primary,,
??_7CWapObj@@6B@,0x1efc30,0x24,primary,,
??_7CDDrawSurfaceMgr@@6B@,0x1efc58,0x20,primary,,
??_7CDDrawSubMgrLeaf@@6B@,0x1efc78,0x24,primary,,
??_7CDDrawSubMgrLeafScan@@6B@,0x1efca0,0x24,primary,,
??_7CDDrawWorkerMapSmall@@6B@,0x1efcc8,0x34,primary,,
??_7CDDrawWorkerCache@@6B@,0x1efd00,0x28,primary,,
??_7CDDrawWorkerRegistry@@6B@,0x1efd28,0x5c,primary,,
??_7CDDrawWorkerList@@6B@,0x1efd88,0x38,primary,,
??_7CDDrawChildGroup@@6B@,0x1efdc0,0x44,primary,,
??_7CDDrawSubMgrPages@@6B@,0x1efe08,0x28,primary,,
??_7CFileMem@@6B@,0x1efe30,0x34,primary,,
??_7CFileMemBase@@6B@,0x1efe68,0x34,primary,,
??_7CDDrawWorkerA@@6B@,0x1efea0,0x30,primary,,
??_7CDDrawWorkerB@@6B@,0x1efed0,0x38,primary,,
??_7LeafCue@@6B@,0x1eff08,0x24,primary,,
??_7CDDrawSurfacePair@@6B@,0x1eff30,0x3c,primary,,
??_7CDDrawSurfaceChildA@@6B@,0x1eff70,0x2c,primary,,
??_7CDrawSubWorker@@6B@,0x1effa0,0x2c,primary,,
??_7CWwdGameObjectC@@6B@,0x1effd0,0x4c,primary,,
??_7CGameObject@@6B@,0x1f0020,0x40,primary,,
??_7CWwdGameObjectF@@6B@,0x1f0060,0x44,primary,,
??_7CWwdGameObjectA@@6B@,0x1f00a8,0x40,primary,,
??_7CWwdGameObject@@6B@,0x1f00e8,0x40,primary,,
??_7CAniAdvanceCursor@@6B@,0x1f0128,0x24,primary,,
??_7CGameLevel@@6B@,0x1f0150,0x48,primary,,
??_7CImageSet1@@6B@,0x1f0198,0x48,primary,,
??_7CImageSet2@@6B@,0x1f01e0,0x48,primary,,
??_7CImageSet3@@6B@,0x1f0228,0x48,primary,,
??_7CDDrawWorkerHost@@6B@,0x1f0270,0x30,primary,,
??_7CWwdGridIter@@6B@,0x1f02a8,0x14,primary,,
??_7CAniRecordView@@6B@,0x1f02c0,0x14,primary,,
??_7CAniRecordBase2@@6B@,0x1f02d8,0x38,primary,,
??_7CWwdGridShell@@6B@,0x1f0310,0x18,primary,,
??_7CWwdGrid@@6B@,0x1f0328,0x18,primary,,
??_7zBitVec@@6B@,0x1f04c8,0x4,primary,,
??_7zErrHandling@@6B@,0x1f04cc,0x4,primary,,
??_7_zdvec@@6B@,0x1f04d0,0x4,primary,,
??_7_zvec@@6B@,0x1f04d4,0x4,primary,,
??_7zPtrColl@@6B@,0x1f04d8,0x4,primary,,
??_7CButeTree@@6BzPtrColl@@@,0x1f04dc,0x4,secondary,,MI secondary for the zPtrColl sub-object at +8; its one slot is the adjustor thunk 0x16ea80 (sub ecx,8; jmp ??_GCButeTree 0x16e9c0) and g_buteTree's ctor helper 0x16e6a0 stamps it into g_buteTree+8
??_7CButeTree@@6B@,0x1f04e0,0x4,primary,,
??_7CButeTree@@6BzErrHandling@@@,0x1f04e0,0x4,secondary,,MI primary-base alias; the zErrHandling sub-object is at +0 and shares CButeTree's one deleting-destructor slot
??_7CTypeCollRuntime@@6B@,0x1f04e4,0x4,primary,,
??_7CBSecStream@@6B@,0x1f0510,0x4,primary,,
??_7CBSecStream@@6BzErrHandling@@@,0x1f0510,0x4,secondary,,
??_7CBSecStream@@6BzPtrColl@@@,0x1f0514,0x4,secondary,,
??_7CButeNode@@6BzPtrColl@@@,0x1f0518,0x4,secondary,,
??_7CButeNode@@6B@,0x1f051c,0x4,primary,,
??_7CButeNode@@6BzErrHandling@@@,0x1f051c,0x4,secondary,,
??_7InterfaceObject@@6B@,0x1f0748,0x14,primary,,
??_7CNetPlayerListNode@@6B@,0x1f0760,0x14,primary,,
??_7CNetSessionNode@@6B@,0x1f0778,0x14,primary,,
??_7CFaderArray@@6B@,0x1f0790,0x14,primary,,
??_7CFader@@6B@,0x1f07a8,0x14,primary,,
??_7CFaderMesh@@6B@,0x1f07c0,0x14,primary,,
??_7CRezBufferObject@@6B@,0x1f07d8,0x14,primary,,
??_7CFaderFlat@@6B@,0x1f07f8,0x14,primary,,
??_7CFaderRadial@@6B@,0x1f0810,0x14,primary,,
??_7CFaderSine@@6B@,0x1f0848,0x14,primary,,
??_7CFaderLight@@6B@,0x1f0870,0x14,primary,,
??_7CFaderShape@@6B@,0x1f0890,0x14,primary,,
??_7CMenuItem@@6B@,0x1f08c0,0x38,primary,,
??_7CMenuItem2@@6B@,0x1f08f8,0x3c,primary,,
